line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English
44, para,2, by,TD, Y para cuando me levanté te habías ido., And by the time I got up you were gone.
384, para,18, for,TD, Valiente sorpresa para final de una juerga., A gallant surprise for the end of the party.
1040, para,26, for,TD, ¡Prepárenos algo especial para mañana!, Prepare us something special for tomorrow!
1457, para,12, ?,TD, ¡...maldito para toda la eternidad!, eternal damnation!
1840, para,61, ?,TD, Su Reverencia el Padre Faramund acaba de anunciar su llegada para esta noche., His Reverence Father Faramund has just reported he'll be arriving this evening.
1891, para,16,in,TD, Quiero un coche para dentro de cinco minutos., I want a car in five minutes.
2341, para,19, for,TD, Dejemos la reunión para otro día., Let us rather postpone this meeting for another day.
2362, para,41, for,TD, Solo quería trae una invitación a Harber para esta noche., I just wanted to bring you an invitation to Harber's for tonight.
2740, para,43, for,TD," Los actores del Teatro de Borgoña anuncian para esta noche una representación de ""La Clorise""."," The actors of the Theatre de Burgoyne announce their presentation of ""La Clorise"" for the evening."
2764, para,36, for,TD, Sólo le queda un abrigo y lo guarda para los sábados., And he has but one coat left the serge he saves for Saturdays.
2986, para,67, for,TD, Sobre todo odiaba la monotonía por lo que tenía una esposa diferente para cada día del año..., Above all he hated monotony So he had a different wife for every day in the year -
3102, para,6, for,TD, ¡Eran para esta noche!, They're for tonight!
3115, para,8, for,TD, Esto es para mañana., That's for tomorrow.
3366, para,18, ?,TD, Le mando un palco para esta noche., Your husband's play shall be played.
3468, para,37, for,TD, Hijo ¿quieres que te tome la lección para mañana?, Sonny hadn't mother better hear your home lessons for tomorrow?
3562, para,10, to,TD, Vine aquí para unos pocos meses y ya llevo tres años, It was supposed to be temporary but I've been here 3 years.
3754, para,11, ?,TD, -- ¡Tienes para seis meses!, I'm giving you 6 months!
3941, para,23, for,TD, El baile está previsto para esta noche. ¿Dejarías que tu mejor y más tierno amigo se pusiera en ridículo delante de sus invitados?," The dance is scheduled for tonight. You would leave your best and. More tender friend would be ridiculed in front of his guests? ""."
4193, para,86, for,TD, Pero muy lejos del bullicio del deporte el Amigo.. ..buscando la montaña más bonita - para mañana -, But far away from the sporting bustle the Friend seeking the most beautiful mountain - for tomorrow...
4374, para,16, to,TD," Falta un minuto para las doce señor"".",  One minute to twelwe Sir.
4413, para,20, for,TD, ¡Tiene que alcanzar para toda la semana!, This must last for the whole week!
4518, para,17, ?,TD, ¡Necesito dinero para esta tarde!, What is it Ferdl?
4692, para,99, ?,TD, ¡Oye Emilia-tabla-de-plancha lárgate de aquí que pueden soplar vientos que arrasen con todo de hoy para mañana!, Have dyers rough up the rowdy ones down there ...
4906, para,42, for,TD, - - Sé que me amas y que conseguirás leña para mañana., - My wife is ill and she cannot work for you.
94, para,19, for,RE, Justicia e igualad para todos., To be just and equal for all?
114, para,21, for,RE, ... y no había sitio para ellos en la posada., there was no place for them in the inn.
116, para,53, for,RE, No temáis porque os doy nuevas de gran gozo que será para todo el pueblo., (Anreo im pak reie:) Do not be afraid; I'm telling you great joy that will be for all people.
157, para,16, ?,RE, Este es un club para gente que está cansada ​​de la vida., This club is tired of life.
184, para,28, for,RE, Ha comenzado una nueva vida para Balduin..., A new life started for Balduin...
202, para,49, for,RE, Nidia se dirige al Templo de Isis a suplicar paz para su corazón., Nidia goes to the Temple of Isis to plead for peace to his heart.
203, para,47, for,RE, Vuelve esta noche y te daré una poción de amor para Glaucus., Come back tonight and I'll give you a magic potion for Glaucus.
204, para,4, for,RE, ¿Es para él...?, And for him?
207, para,17, for,RE, No hay esperanza para Glaucus., There is no hope is for Glaucus.
211, para,64, ?,RE, No puedo dejarla en las garras de ese monstruo. Sería la muerte para Glauco., I won't leave her in the hands of this monster; it would be the death of Glaucus.
231, para,104, for,RE, ESPERANZAS AMENAZADAS Por primera vez en su vida los pensamientos del joven se apartan del camino marcado para él., For the first time in his life the young man's thoughts are swerving from the path marked out for him.
250, para,24, per,RE, Por favor un comunicado para los diarios., - Take down a statement for the papers.
263, para,24, for,RE, Si eres Juve tanto peor para ti., If you are Juve so much the worse for you.
267, para,45, for,RE," Fandor le muestra a Juve el articulo escrito para ""La Capitale", Jerome Fandor shows to his friend inspector Juve an article which he had written for La Capitale
270, para,28, for,RE, Condenado a muerte no habrá para él esta vez ninguna conmutación de pena., Sentenced to death this time there will be no commutation of sentence for him.
291, para,30, for,RE, Gertie adora la música. Tocad para ella y bailará., Gertie loves music play for her and dance.
344, para,26, for,RE, Un rico campesino le pide para su hijo la mano de Aranka., A rich farmer sollicits for Aranka for his son.
390, para,22, for,RE," No se trata de eso... para usted..."" ""¡Entonces muchas gracias!"," It is not that ... for you ..."" ""So thank you very much !"
438, para,47, for,RE, Al regresar construirá el pabellón de estrella para Su Daji se celebrará la boda se dará un gran banquete y amnistiará a todos., After returning to the kingdom Kill will build the Star Viewing Platform for Su Daji to hold a grand wedding ceremony. And he will invite all guests and grant amnesty for the public.
443, para,8, ?,RE, Ya está para usted., I have prepared it.
458, para,31, for,RE, Antes de irte ¿puedes adivinar para mi y la concubina Su?, Before you leave how about reading the fortune of Noble Consort Su and me?
505, para,40, for,RE, Poseerás esta obra yo la haré en bronce para ti., quot; You will have that job. I'll melt the bronze for you.quot;
508, para,20, to,RE, Entregar esta carta para Michael inmediatamente., quot; Give this letter to Mikael immediately.quot;
524, para,32, for,RE, ¡Habrías sido una buena captura para esos dos!, You'd have been a nice catch for those two!
