line number, spanish prep found, index of spanish prep, translated to, code, original Spanish, original English,isused
1, para,115, to,PU, Has estado amenazándome con contarme la verdad acerca de mi esposo desde el día en que nos conocimos y estoy lista para oírla., You have been threatening to tell me the truth about my husband since the day we met and I'm ready to listen.,x
2, para,24, for, RE, Descubriendo quién es y para quién trabaja., Finding out who he is and who he works for.,x
3, por,19,by, IT, Estarás en América por la mañana., You'll be in America by morning.,x
4, para,11, for, PU, Esta noche para la cena vamos a echar un vistazo a ese nuevo lugar tailandés., Uh tonight for dinner let's check out that new thai place.,x
5, para,39, for,RE, Jolene Parker indudablemente trabajaba para la misma organización que Tom..., Jolene Parker undoubtedly worked for the same organization as Tom...,x
6, para,76,to, PU, Él está luchando por obtener un punto de apoyo y ahí radica nuestra oportunidad para esperar y ver., He's scrambling for a foothold and therein lies our opportunity to wait and to watch.,x
6, por,17, for,CA, Él está luchando por obtener un punto de apoyo y ahí radica nuestra oportunidad para esperar y ver., He's scrambling for a foothold and therein lies our opportunity to wait and to watch.,x
7, por,24,NONE, CA, Pero Tom no es la razón por la que estoy aquí., But Tom is not the reason I'm here.,x
8, para,53,to, PU, - Hace 18 horas la agencia envió un grupo encubierto para extraerla de un campo de trabajo forzado en la provincia de Yunnan., - 18 hours ago the agency sent an undercover team to extract her from a clandestine labor camp in the Yunnan province.,x
9, por,31, for,CA, Un mes después fue encarcelada por traición., A month later she was jailed for treason.,x
10, para,16,to,AMBIG, Está programado para que aterrice en una hora y tenemos un grupo esperándola para escoltarla a Langley, She's scheduled to land at Andrews in an under an hour and we have a team standing by to escort her to Langley,x
11, para,2, for, PU, - para interrogarla., - for a debriefing.,x
12, para,28, to,AMBIG, Entendido. Treinta segundos para el encuentro., Roger. 30 seconds to rendezvous.,x
13, por,7,NONE, ME, - Transporte por tierra ha sido arreglado., - Ground transport's been arranged.,x
14, por,29,why, CA, Agente Malik ¿quiere decirme por qué está llamando el director de Inteligencia Nacional?, Agent Malik you want to tell me why the director of national intelligence is calling?,x
15, por,10,by,AT, Prohibido por casi todas las naciones de la Tierra., Banned by nearly every nation on Earth.,x
16, por,3,why,CA, Es por esto que los chinos no pueden convertir esto en un incidente internacional., That's why the Chinese can't turn this into an international incident.,x
17, por,6,NONE,CA, Faltó por enfermedad esta mañana., Called in sick this morning.,x
19, por,30, for,IT, Ha estado sentado en ese auto por casi una hora., He's been sitting at that cart for nearly an hour.,x
20, para,21, for, RE, Todos ellos trabajan para ti., They all work for you.,x
21, para,14, for,AMBIG, ¿Cuánto falta para el bote?, How long for the boat?,x
22, por,24, for,CA, Creí que ibamos a salir por comida thai., I thought we were going out for thai.,x
24, para,38,to, PU, Me detuve en archivos nacionales solo para tal vez reservar un día de campo para los niños., Oh uh I did stop by the national archives just to maybe book a field trip for the kids.,x
24, para,,for,RE, Me detuve en archivos nacionales solo para tal vez reservar un día de campo para los niños., Oh uh I did stop by the national archives just to maybe book a field trip for the kids.,x
25, por,15,why, CA, Lizzy entiendo por qué fuistes tras Tom hoy., Lizzy I understand why you went after Tom today.,x
26, para,5,for,PE, Pero para Tom solo fueron negocios., But for Tom it was business.,x
27, para,2, to, PU, - para llegar al otro lado., - to get to the other side.,x
28, por,49, to, POR DIOS, Si me dices que sea paciente una vez más te juro por Dios..., If you tell me to be patient one more time I swear to God...,x
29, para,48,to, PU, Los hermanos Pavlovich quemaron ese helicóptero para cubrir evidencia..., The Pavlovich brothers burnt that chopper to cover up evidence...,x
30, para,9, for, PU, No estoy para contratar., Not for hire.,x
31, para,63, for,RE, Vas a entragarlo o devolverlo o lo que sea que quiera la gente para la que trabajas que hagas., You're gonna deliver it or return it or whatever the people you work for want you to do with it.,x
32, por,10,please, POR FAVOR, una copia por favor., A copy please.,x
33, para,77,NONE,PU, Esta bien nunca quise saber tanto acerca cromatografía de gases o lubricante para tuercas pero creo que el señor Reddington esta tras algo., Hey. Okay I never wanted to know this much about gas chromatography or gear lubricants but I think Mr. Reddington is onto something.,x
